"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15373005557.0257","17858486066.7474","22059612476.9332","29515467706.796","35189299911.6608","40059206763.056","42959976221.5234","51545758887.6863","62052259073.2493","73937296963.4586","82058912997.2346","71034228443.062","71275287569.5733","72121016546.6524","67985344886.8716","69386774408.0872","99036164939.1618","124168442533.74","133339397080.129","133105805512.22","166463386179.354","173794177961.108","195078126721.763","190379720809.18","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217185787342.851","196799778883.361","197337879194.631","213377771503.858","261695778781.038","300904221504.842","315974418604.651","335998557270.104","388691445387.353","430294287388.311","400172297860.517","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441996131736.508","381817565893.574","395568644341.038","416230497429.163","454945881027.378","445011872704.47","433258467676.515",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446305555.555556","1570000000","1193312101.91083","2417355840.03625","3176333837.03359","3962238113.16021","4446368570.6901","4581432038.83495","5272798390.70183","5707720390.8515","6235856819.58445","7276753894.71541","8680370408.05943","13245716099.0057","20982986344.3027","33050343782.7759","48852482960.0779","44291490420.5026","52909294791.9262","65951627200.2026","69683935845.2139","74164435946.4627","75244294275.1498","53074370486.0433","37867518957.1975","40865558912.3867","47112941176.4706","48174235294.1176","42607176470.5882",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770806.077641","808077223.365746","870486065.883137","876794723.068586","825394490.159111","784654423.620476","915257323.3961","1117113045.65222","1273375020.26862","1356199364.85882","1611835901.9063","1781455092.07114","2032135246.50004","2235820867.82743","2333308099.46249","2451625332.74584","2705783272.07443","3104394858.11518","2732808556.84172","2748180473.71333","2668495742.88443","2631434363.22693","2841786382.19063",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26706196046.7931","29821661869.912","37209418018.5134","47743801490.3747","56033077879.0389","65678189097.2908","71113882967.6071","82839905458.6382","101246526194.441","116315456796.918","126829314388.191","104730018470.23","92095926187.5331","87184239053.2544","83349530159.1734","86268264148.3796","120018787249.413","149394404105.889","162299103675.261","164221056511.057","205331747947.851","210510999409.333","234781652446.675","224721795708.955","244884129491.198","288025588396.278","279201433224.756","252708051420.839","258528339631.029","258158533986.789","236204532891.1","236541297539.15","257157820440.429","317381715575.621","368537000248.324","385570948886.954","407918078032.869","470324254037.777","515223524241.98","481345929424.84","480951629493.033","522645519183.591","496181260258.3","521642714407.843","534678075827.361","462149679343.822","475739588764.759","501522868356.441","543008499294.079","535288715239.999","521861292586.616",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195579.35701","235668222.429984","236434906.75427","253927646.475909","269818988.259263","289908720.648622","302925280.773564","306222000.407316","326323097.355964","330748211.459737","333627758.154666","335072975.215766","410331900.950531","504376035.716401","554654786.965107","676870140.341529","698408244.385343","750049739.152238","928843304.783965","1186231265.18417","1405251547.23882","1291119965.11262","1267778489.03079","1095348302.91865","1051133927.00009","1045712703.02696","1336102040.71025","1562412030.34838","1620246187.15171","1502294411.46202","1959965243.76269","1986437859.90346","1695315305.70308","2274557914.07481","1598075932.35432","2169627250.93379","2361116587.86079","2268301537.65128","2455092582.30927","3677394291.51516","3519991326.48464","3666222600.09828","4194342849.46574","5349258334.31914","6190270756.13743","6567654493.50831","7034111651.4964","8169048690.05254","9787735426.00897","9738626993.27696","9535344283.47295","10693321953.6355","11141358945.1349","12517845732.2095","13284528654.0574","11388160958.249","11821066152.5979","12701654743.2149","14262407011.5254","14391686632.7821","15651545331.5404",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442817.168859","350247237.11684","379567023.340308","394040588.303477","410321618.17137","422916848.424208","433889831.584706","450753993.176448","460442678.217048","478298597.556707","458404330.125096","482411103.787272","578595583.975723","674773518.411839","751133330.591384","939972703.463021","976547163.53387","1131224818.33053","1475583383.37265","1748480982.18517","1928719477.41287","1775842026.4121","1754449845.3012","1600278756.43589","1459880018.54646","1552493068.4254","2036303381.20142","2369834650.08921","2616040645.87263","2615587725.77391","3101300641.87512","3135045684.1006","3356692517.86417","3199536227.94818","1895290623.44033","2379518099.2266","2586550747.09844","2447668984.53131","2804902248.28537","3389566982.51573","2968369991.46729","3190371050.45524","3622350203.94595","4740768355.22974","5451688868.42974","6146352742.03313","6547420133.69942","7625723123.54939","9451436358.96861","9450697335.53565","10109618964.2848","12080296644.0643","12561016091.4673","13444301139.1384","13943016923.9017","11832159275.603","12833363370.174","14106956830.0857","15890065019.7634","16178162030.0694","17933606353.1775",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274893913.49536","4817580183.60155","5081413339.78635","5319458351.16235","5386054619.34987","5906636557.00092","6439687598.32325","7253575399.3215","7483685473.51275","8471006100.95399","8992721809.39332","8751842839.79658","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005760.3486","28781714763.8012","31598341233.559","30957483949.5798","31708874594.1645","33166519417.9894","33768660882.793","37939748768.6567","46438484107.5795","48244309133.4895","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477791472.39","115279077465.226","128637938711.386","133355749482.478","149990451022.29","172885454931.453","195078678697.23","221415188000.475","249710922462.309","274038973437.275","302571320445.75","323056957972.312",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10829710144.9275","9697416974.16974","18983303571.4286","12294221472.7375","11315986087.1633","15030695296.5235","13627323284.5405","13245833843.5454","14183497963.1071","16402846413.0958","21144983551.6823","26157894736.8421","29869283400.0381","34379808888.6039","44405101469.5591","54438966419.8639","52023504656.2878","50682061053.2016","57678241023.818","54300857424.4415","55810138436.4821","57082011260.3446","50781996712.7635","53953897624.4344","59199447421.4924","66363422450.2112","68915416141.9576","69889347433.4324",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698328.46909","3467819148.93617","3645744680.85106","3735106382.97872","3905585106.38298","3651861702.12766","3052393617.02128","3392021010.6383","3702393617.02128","3863563829.78723","4229787234.04255","4616223404.25532","4751063829.78723","5200265957.44681","5567553457.44681","5849467819.14894","6101861436.17021","6349202393.61702","6183776595.74468","6621010372.34043","9062898936.17021","8976196808.51064","9593510638.29787","11074813829.7872","13150159574.4681","15968723404.2553","18504760638.2979","21730000000","25710904255.3191","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539468085.1064","33387712765.9574","31050638297.8723","32234973404.2553","35473776595.7447","37801462765.9574","38652579787.234","34729228723.4043",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169803921.568627","190098039.215686","212254901.960784","237745098.039216","266666666.666667","300392156.862745","340000000","390196078.431373","444901960.784314","528137254.901961","538423153.692615","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720500000","10494600000","11142900000","11890600000","11992600000","12359700000","12837800000","13164400000","9907500000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.73665","2786045321.63743","3671816504.23851","4116699437.4041","4685733115.46841","5567405599.31206","5800774717.40538","6728771313.86805","8498560902.29181","10157553968.1525","11222953335.3385","12864610862.5901","15778767410.8109","19112739397.886","17613836526.6393","17176781045.5967","18644723853.5807","17221192466.1918","18172335776.3301","18560861388.6402","16219819017.3607","16914287348.9819","18079075770.6713","20177409351.4329","20201323260.0733","19946496562.9733",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21650000000","","","","17793000000","13489222222.2222","14756846153.8462","14108846153.8462","15264369565.2174","12152867469.8795","12738912133.8912","12354820143.8849","14594249022.8922","17827791321.3067","23144351851.8519","30207567316.6202","36954312354.3124","45277399813.6067","60763483146.0674","50874078052.2735","57222490768.7143","61757788944.7236","65685102554.8759","75527984234.2342","78813839984.3506","56454734396.5842","47722657820.6675","54726595249.1849","60031262269.3365","64409647193.8044","60258239055.5829",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28071888.5622288","29964370.7125857","31856922.8615428","33749405.0118998","36193826.1234775","40069930.0699301","44405594.4055944","47379310.3448276","44910179.6407186","47305389.2215569","53233532.9341317","59207317.0731707","66062500","78343558.2822086","103216374.269006","118066298.342541","96905829.5964126","117650000","136300000","151800000","197938222.429283","196089854.656347","182206326.985709","192103185.955321","214381949.019381","212643742.664706","231638320.535566","281082558.5859","320093360.27245","369133890.704745","412086445.492176","444720750","518559700","560205300","581269550","620422500","641660000","654582900","689140000","732732350","832072450","868358750","925197950","983575600","1051386600","1102564900","1210603750","1271598050","1351338650","1317309450","1377177100","1460797903.23406","1522897506.07849","1579411253.00514","1667335060.96064","1721700991.46912","1789304087.78561","1858529676.71857","1915899786.96407","1982518540.6134","1636280797.08056",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466654.0769119","89249986.6972895","94149985.9669446","96366652.3032171","107566650.633857","114339048.965166","134173373.785653","155102984.627334","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634900000","1679900000","1820359900","1867160100","2030750000","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7224329000","7484113000","6842700000",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","373879363.595386","406684585.719294","444665186.397102","478805990.083307","539491477.320156","604377104.377104","669191919.191919","755808080.808081","857912457.912458","929629629.62963","1017003367.00337","1095622895.6229","1257615644.97932","1262968515.74213","2100249875.06247","2404697651.17441","2731984007.996","3227436281.85907","3758220889.55522","4421343606.18135","4526916802.61011","5872756933.11582","5587490264.8127","5422440961.87886","6169501037.97622","5377277406.71638","3958338883.22338","4323623622.1622","4597615562.66594","4715978868.21613","4867582620.20708","5343274311.56789","5643893347.00679","5734676560.92471","5981244886.917","6715220507.05164","7396966657.47054","7925673448.41368","8497545598.08352","8285075872.27307","8397912509.09679","8141537937.61068","7905485216.17852","8082364868.39357","8773451738.91129","9549077869.10651","11451869164.7112","13120183156.7149","16674324634.2373","17339992165.2422","19649631314.0482","23963033430.5954","27084497482.8616","30659338880.3786","32996188012.6821","33000198248.3362","33941126200.0606","37508642165.3366","40287647930.4761","40895322843.7851","36572764862.8234",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","","17275940449.3837","19231747851.5332","23287712878.2002","20963733694.9749","22465522884.0988","28283323733.1114","31086389194.961","33930457425.2613","37171640818.5863","42327664793.6934","48869830901.7878","58434858374.8696","83592275862.9982","109794519727.538","129203555238.827","153168949208.207","176344101401.941","200278646123.581","221338204480.222","237393489892.637","258015174748.648","271314113768.417","189656506321.431","188339974086.58","210879841322.306","256480855343.617","283056833878.212","308333568571.493","347028139590.227","390725626002.866","342609227209.645","328187944300.908","368295777770.079","525369851353.742","769333330368.987","850426433004.077","883206452795.124","863711007325.493","599642075004.471","655448188259.351","559983704094.17","509795270685.19","558233724164.711","669289321944.516","891633826603.377","1107626711406.63","1397114247331.17","1695855391810.9","1666996294372.87","2208838108577.09","2616156606666.62","2465228293894.01","2472819362216.69","2456043766028.73","1802211999538.68","1795693265810.23","2063514688761.98","1916933708381.89","1877824273720.78","1444733258971.65",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","311809337.474355","402178605.019554","435911268.58968","495097667.929041","552883707.055138","670362452.145379","1012280614.52792","1114204743.20091","1163923830.35847","1236016506.73694","1346890071.09829","1409536120.91682","1547755183.21484","1704370307.76115","1812757917.76463","2006165166.80754","2012131457.26644","2020583702.08323","1957000000","2063342117.03873","2151344901.30761","2216974096.35559","2363645403.47039","2498384129.66738","2817083478.34734","2951822204.54432","3059500000","3054500000","3106500000","3209500000","3444500000","3819500000","4217500000","4674000000","4785000000","4465500000","4530000000","4657500000","4610000000","4677000000","4696500000","4715000000","4830000000","4978000000","5086500000","5209000000","4418000000",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","114040245.655299","132758395.400497","139030445.576898","160819286.554292","161211289.690318","179080099.307461","197523179.241883","270818555.823521","433092003.579273","1073577085.64159","1168304305.65513","1423061356.64562","1732721160.94122","1941600703.60598","2803780005.51826","4928824957.96749","4366213849.57637","4264252336.4486","3844723142.45149","3782523088.4628","3523612563.06532","2358592817.12134","2754463437.79677","2690717551.18267","2985467979.28524","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153306.2645","5601090584.36122","5843329107.56171","6557333084.60567","7872333215.00414","9531402847.87311","11470703002.0769","12247694247.2298","14393099068.5859","10732366286.2643","13707370737.0737","18525319977.7407","19047940300.8963","18093829923.2737","17098342541.4365","12930394937.8137","11400854267.7188","12128104859.1498","13567351175.0315","13469422958.5105","12005825769.5087",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","128717410.9125","139150441.309748","141366534.475688","156687192.064642","160459970.534683","163272314.833796","191230747.107006","242770861.580343","272241005.231459","264725206.950873","287658184.003989","240319995.602463","240215763.888889","225998091.177435","258985597.704814","290464801.110083","303435517.922664","352260952.905536","363452787.203102","399268801.672085","424464089.897641","461444513.66815","520849551.532606","604041957.921855","682523857.01677","796938120.181406","874989895.601121","1168308516.63301","1227808790.6733","1234014291.82342","1547991317.81183","1777101316.67756","1781281281.57912","1756215665.09323","1907090813.45906","2003598212.99135","2158972129.00307","2450364928.07302","2446866404.93058","2535657068.96575","2315437338.08809",
